Program,n,i,s,p,Threads,Time (s),Output Match
pthread_life,300,400,1234,0.4,8,1.6607424590001756,No
pthread_life,300,400,1234,0.4,16,1.8171552870007872,No
pthread_life,300,400,5678,0.2,1,1.6467589640014921,No
pthread_life,300,400,5678,0.2,2,1.676114329999109,No
pthread_life,300,400,5678,0.2,4,1.7040623770008096,No
pthread_life,300,400,5678,0.2,8,1.7417076570018253,No
pthread_life,300,400,5678,0.2,16,1.9145795590011403,No
pthread_life,300,400,5678,0.4,1,1.7153965280012926,No
pthread_life,300,400,5678,0.4,2,1.696709441999701,No
pthread_life,300,400,5678,0.4,4,1.7353110360018036,No
pthread_life,300,400,5678,0.4,8,1.6828996280019055,No
pthread_life,300,400,5678,0.4,16,1.6243705209999462,No
pthread_life,400,100,1234,0.2,1,1.9014078850013902,No
pthread_life,400,100,1234,0.2,2,1.7903352710018225,No
pthread_life,400,100,1234,0.2,4,1.7321112930003437,No
pthread_life,400,100,1234,0.2,8,1.75993128600021,No
pthread_life,400,100,1234,0.2,16,1.694627542001399,No
pthread_life,400,100,1234,0.4,1,1.8160542760015232,No
pthread_life,400,100,1234,0.4,2,1.889133483000478,No
pthread_life,400,100,1234,0.4,4,1.6807911260002584,No
pthread_life,400,100,1234,0.4,8,1.7658253909976338,No
pthread_life,400,100,1234,0.4,16,1.7882039970027108,No
pthread_life,400,100,5678,0.2,1,1.7727771860008943,No
pthread_life,400,100,5678,0.2,2,1.7505634469998768,No
pthread_life,400,100,5678,0.2,4,1.7829248419984651,No
pthread_life,400,100,5678,0.2,8,1.6698380900015763,No
pthread_life,400,100,5678,0.2,16,1.8130941819981672,No
pthread_life,400,100,5678,0.4,1,1.7670079590025125,No
pthread_life,400,100,5678,0.4,2,1.8846054920031747,No
pthread_life,400,100,5678,0.4,4,1.645461438998609,No
pthread_life,400,100,5678,0.4,8,1.7113063680008054,No
pthread_life,400,100,5678,0.4,16,1.8566823689980083,No
pthread_life,400,200,1234,0.2,1,1.7035777169985522,No
pthread_life,400,200,1234,0.2,2,1.7757286460000614,No
pthread_life,400,200,1234,0.2,4,1.667724516002636,No
pthread_life,400,200,1234,0.2,8,1.7268052130020806,No
pthread_life,400,200,1234,0.2,16,1.8223837609984912,No
pthread_life,400,200,1234,0.4,1,1.729771147001884,No
pthread_life,400,200,1234,0.4,2,1.7194872290019703,No
pthread_life,400,200,1234,0.4,4,1.5898307019997446,No
pthread_life,400,200,1234,0.4,8,1.6064066339968122,No
pthread_life,400,200,1234,0.4,16,1.6551183270021284,No
pthread_life,400,200,5678,0.2,1,1.593536710999615,No
pthread_life,400,200,5678,0.2,2,1.8603933710001002,No
pthread_life,400,200,5678,0.2,4,1.6555246979987714,No
pthread_life,400,200,5678,0.2,8,1.6355084060014633,No
pthread_life,400,200,5678,0.2,16,1.6657799200002046,No
pthread_life,400,200,5678,0.4,1,1.7750117010000395,No
pthread_life,400,200,5678,0.4,2,1.8475148580000678,No
pthread_life,400,200,5678,0.4,4,1.7611259980003524,No
pthread_life,400,200,5678,0.4,8,1.834594329000538,No
pthread_life,400,200,5678,0.4,16,1.8196692420024192,No
pthread_life,400,300,1234,0.2,1,1.8238044569989142,No
pthread_life,400,300,1234,0.2,2,1.7442882180002925,No
pthread_life,400,300,1234,0.2,4,1.7218187469989061,No
pthread_life,400,300,1234,0.2,8,1.711746271001175,No
pthread_life,400,300,1234,0.2,16,1.7138656780007295,No
pthread_life,400,300,1234,0.4,1,1.8557587469986174,No
pthread_life,400,300,1234,0.4,2,1.6926077389980492,No
pthread_life,400,300,1234,0.4,4,1.7077746529976139,No
pthread_life,400,300,1234,0.4,8,1.627160145999369,No
pthread_life,400,300,1234,0.4,16,1.8168179569984204,No
pthread_life,400,300,5678,0.2,1,1.7122250810025434,No
pthread_life,400,300,5678,0.2,2,1.8828838920017006,No
pthread_life,400,300,5678,0.2,4,1.7646783920026792,No
pthread_life,400,300,5678,0.2,8,1.6617502330009302,No
